Indentifier;NL annotation;GitHub Sequence
1147;decrypt text file;FileInputStream.new FileOutputStream.new String.getBytes SecretKeySpec.new Cipher.getInstance Cipher.DECRYPT_MODE Cipher.init CipherOutputStream.new FileInputStream.read CipherOutputStream.write CipherOutputStream.flush CipherOutputStream.close FileInputStream.close
1148;public key encryption;Base64.getDecoder Base64.decode KeyFactory.getInstance X509EncodedKeySpec.new KeyFactory.generatePublic KeyFactory.getInstance Cipher.getInstance Cipher.ENCRYPT_MODE Cipher.init Cipher.getOutputSize Cipher.doFinal
1149;verify digital signature;Signature.getInstance Signature.initVerify Signature.update Signature.verify
1150;sign the message using hmac-sha1, returning a byte array with a length of 20 bytes.;KeyGenerator.getInstance KeyGenerator.init KeyGenerator.generateKey SecretKey.getEncoded SecretKeySpec.new Mac.getInstance Mac.init Mac.doFinal
1151;generate digital signature on message with private key;Signature.getInstance Signature.initSign Signature.update Signature.sign
1152;rsa algorithm uses public key to verify digital signature;Signature.getInstance Signature.initVerify String.getBytes Signature.update Signature.verify
1153;obtain encrypted and decrypted data through private key;String.getBytes Base64.decodeBase64 PKCS8EncodedKeySpec.new KeyFactory.getInstance KeyFactory.generatePrivate KeyFactory.getAlgorithm Cipher.getInstance Cipher.init Cipher.doFinal
1154;rsa algorithm private key to decrypt data;Base64.getDecoder.decode PKCS8EncodedKeySpec.new KeyFactory.getInstance KeyFactory.generatePrivate KeyFactory.getAlgorithm Cipher.getInstance Cipher.DECRYPT_MODE Cipher.init Base64.getEncoder.encodeToString
1155;initialize the rsa algorithm key pair;KeyPairGenerator.getInstance KeyPairGenerator.initialize KeyPairGenerator.generateKeyPair KeyPair.getPublic Key.getEncoded Base64.getEncoder.encodeToString KeyPair.getPrivate Key.getEncoded Base64.getEncoder.encodeToString
1156;iterative digest algorithm;DigestAlgorithm.getAlgorithm MessageDigest.getInstance MessageDigest.update MessageDigest.digest MessageDigest.reset MessageDigest.digest
1157;this method can decrypt the encrypted string (ciphertext), the key is the key when it was originally encrypted, and the returned value is the decrypted string;Cipher.getInstance String.getBytes SecretKeySpec.new Cipher.ENCRYPT_MODE IvParameterSpec.new Cipher.init String.new Cipher.doFinal DatatypeConverter.parseBase64Binary
1158;symmetric decryption;Cipher.getInstance IvParameterSpec.new Cipher.DECRYPT_MODE Cipher.init Cipher.update Cipher.doFinal
1159;self-signed certificate (root certificate);X509CertInfo.ALGORITHM_ID X509CertInfo.get X509CertInfo.ISSUER X509CertInfo.SUBJECT X509CertInfo.get X509CertImpl.new CertificateAlgorithmId.ALGORITHM CertificateAlgorithmId.get CertificateAlgorithmId.getName X509CertImpl.sign
1160;3desecb encryption;String.getBytes DESedeKeySpec.new SecretKeyFactory.getInstance SecretKeyFactory.generateSecret Cipher.getInstance Cipher.ENCRYPT_MODE Cipher.init String.getBytes Cipher.doFinal Base64.encodeBase64String
1161;rsa algorithm private key to encrypt data;Base64.getDecoder Base64.decode PKCS8EncodedKeySpec.new KeyFactory.getInstance KeyFactory.generatePrivate KeyFactory.getAlgorithm Cipher.getInstance Cipher.ENCRYPT_MODE Cipher.init Cipher.doFinal
1162;use hmac-sha1 for message signing, return byte array, length 20 bytes;KeyGenerator.getInstance KeyGenerator.init KeyGenerator.generateKey SecretKey.getEncoded SecretKeySpec.new Mac.getInstance Mac.init Mac.doFinal
1163;sign;KeyStore.getInstance KeyStore.load KeyStore.aliases KeyStore.getKey Signature.getInstance Signature.initSign Signature.update Signature.sign
1164;get ssl context;KeyManagerFactory.getInstance KeyManagerFactory.init SSLContext.getInstance SSLContext.init KeyManagerFactory.getKeyManagers
1165;parse private key from pem format;PEMParser.new PEMParser.readObject JcaPEMKeyConverter.new JcaPEMKeyConverter.setProvider PEMKeyPair.getPrivateKeyInfo JcaPEMKeyConverter.getPrivateKey
1166;calculate rfc2104 hmac of sha1.;Digest.getDigestSize byte.new String.toUTF8Byte HMac.new byte.length HMac.update HMac.doFinal Digest.reset
1167;decrypt;SecureRandom.new String.getBytes DESKeySpec.new SecretKeyFactory.getInstance SecretKeyFactory.generateSecret Cipher.getInstance Cipher.DECRYPT_MODE Cipher.init Cipher.doFinal
1168;initialize party a's key;KeyPairGenerator.getInstance KeyPairGenerator.initialize KeyPairGenerator.initialize KeyPairGenerator.generateKeyPair KeyPair.getPublic KeyPair.getPrivate
1169;perform aes algorithm (encryption and decryption), input and output data format is byte stream;Cipher.ENCRYPT_MODE Cipher.DECRYPT_MODE BouncyCastleProvider.new Security.addProvider Cipher.getInstance SecretKeySpec.new Cipher.init Cipher.doFinal
1170;rsa algorithm public key decrypt data;Base64.getDecoder.decode X509EncodedKeySpec.new KeyFactory.getInstance KeyFactory.generatePublic KeyFactory.getAlgorithm Cipher.getInstance Cipher.DECRYPT_MODE Cipher.init String.new
1171;decrypt;SecretKeyFactory.getInstance DESedeKeySpec.new SecretKeyFactory.generateSecret Cipher.getInstance IvParameterSpec.new Cipher.DECRPYT_MODE Cipher.init Cipher.doFinal
1172;private key decryption;KeyFactory.getInstance Base64.decodeBase64 PKCS8EncodedKeySpec.new KeyFactory.generatePrivate Cipher.getInstance Cipher.DECRYPT_MODE Cipher.init Base64.decodeBase64 RSAPrivateKey.getModulus.bitLength ByteArrayOutputStream.new Cipher.doFinal ByteArrayOutputStream.write ByteArrayOutputStream.toByteArray IOUtils.closeQuietly
1173;3des algorithm;SecretKeyFactory.getInstance String.getBytes DESedeKeySpec.new SecretKeyFactory.generateSecret IvParameterSpec.new Cipher.getInstance Cipher.ENCRYPT_MODE Cipher.DECRYPT_MODE Cipher.init
1174;aes encrypted name;Cipher.getInstance SecretKeySpec.new Cipher.ENCRYPT_MODE Cipher.init Cipher.doFinal
1175;encryption and decryption public methods;Cipher.ENCRYPT_MODE Cipher.DECRYPT_MODE Cipher.getInstance Cipher.init Cipher.doFinal
1176;public key encryption;KeyFactory.getInstance Base64.decodeBase64 X509EncodedKeySpec.new KeyFactory.generatePublic Cipher.getInstance Cipher.ENCRYPT_MODE Cipher.init String.getBytes RSAPublicKey.getmodulus.bitLength Base64.encodeBase64URLSafeString
1177;parse private key from encrypted pem format;StringReader.new PEMParser.new PEMParser.readObject PKCS8EncryptedPrivateKeyInfo.decryptPrivateKeyInfo JcaPEMKeyConverter.new JcaPEMKeyConverter.setProvider JcaPEMKeyConverter.getPrivateKey
1178;encryption;SecureRandom.new String.getBytes DESedeKeySpec.new SecretKeyFactory.getInstance SecretKeyFactory.generateSecret Cipher.getInstance Cipher.ENCRYPT_MODE Cipher.init String.getBytes Cipher.doFinal Base64.getEncoder.encode String.new
1179;this method can encrypt the string (ciphertext), the key is the key when it was originally encrypted, and the returned value is the encrypted string;Cipher.getInstance String.getBytes SecretKeySpec.new IvParameterSpec.new Cipher.ENCRYPT_MODE Cipher.init DatatypeConverter.parseBase64Binary Cipher.doFinal String.new
1180;how to generate a symmetric key;KeyGenerator.getInstance KeyGenerator.generateKey ObjectAccessUtil.writeToFile
1181;cbc mode encryption;Base64Encoder.new SecretKeySpec.new Cipher.getInstance Cipher.ENCRYPT_MODE String.getBytes IvParameterSpec.new Cipher.init Cipher.doFinal Base64Encoder.encode
1182;key generation;KeyPairGenerator.getInstance KeyPairGenerator.initialize KeyPairGenerator.generateKeyPair KeyPair.getPrivate KeyPair.getPublic RSAKeyPair.new
1183;md5 encrypted byte array, returns the encrypted byte array;MessageDigest.getInstance MessageDigest.digest
1184;get the hash value of the data;MessageDigest.getInstance MessageDigest.update MessageDigest.digest
1185;generate hmac-sha1 key, return byte array, 160 bits long (20 bytes).;KeyGenerator.getInstance KeyGenerator.init KeyGenerator.generateKey SecretKey.getEncoded
1186;pbe specification;PBEParameterSpec.new
1187;rsa algorithm uses public key to verify digital signature;Base64.getDecoder.decode X509EncodedKeySpec.new KeyFactory.getInstance KeyFactory.generatePublic Signature.getInstance Signature.initVerify String.getBytes Signature.update Base64.getDecoder.decode Signature.verify
1188;encrypt or decrypt an unencoded raw byte array using aes, returning the result as an unencoded byte array;KeyGenerator.getInstance KeyGenerator.init KeyGenerator.generateKey SecretKey.getEncoded SecretKeySpec.new IvParameterSpec.new Cipher.getInstance Cipher.init Cipher.doFinal
1189;methods of generating asymmetric keys;KeyPairGenerator.getInstance KeyPairGenerator.initialize KeyPairGenerator.generateKeyPair KeyPair.getPrivate KeyPair.getPublic ObjectAccessUtil.writeToFile ObjectAccessUtil.writeToFile
1190;sign;PKCS8EncodedKeySpec.new KeyFactory.getInstance KeyFactory.generatePrivate Siganture.getInstance Signature.initSign Signature.update Siganture.sign
1191;parse public key from pkcs1 format;Base64.getDecoder Base64.decode RSAPublicKey.getInstance RSAPublicKey.getPublicExponent RSAPublicKeySpec.new KeyFactory.getInstance KeyFactory.generatePublic
1192;symmetric encryption;Cipher.getInstance IvParameterSpec.new Cipher.ENCRYPT_MODE Cipher.init Cipher.update Cipher.doFinal
1193;use hmac-sha1 for message signing;KeyGenerator.getInstance KeyGenerator.init KeyGenerator.generateKey SecretKey.getEncoded SecretKeySpec.new Mac.getInstance Mac.init Mac.doFinal
1194;encrypt data;Digest.getDigestSize byte.new String.toUTF8Byte HMac.new byte.length HMac.update HMac.doFinal Digest.reset Cipher.getInstance SecretKeySpec.new IvParameterSpec.new Cipher.ENCRYPT_MODE Cipher.init Cipher.doFinal
1195;symmetric encryption/decryption of files;Cipher.ENCRYPT_MODE Cipher.DECRYPT_MODE Cipher.getInstance Cipher.init FileInputStream.new.getChannel FileInputStream.new.getChannel ByteBuffer.allocate ByteBuffer.allocate FileChannel.read ByteBuffer.flip ByteBuffer.clear Cipher.doFinal ByteBuffer.flip FileOutputStream.write ByteBuffer.clear FileInputStream.close FileInputStream.close
1196;aes encryption/decryption public methods;String.getBytes IvParameterSpec.new String.getBytes SecretKeySpec.new Cipher.getInstance Cipher.ENCRYPT_MODE Cipher.init Cipher.doFinal Base64. encodeBase64String Cipher.DECRYPT_MODE Cipher.init Base64. decodeBase64 Cipher.doFinal String.new
1197;aes algorithm;Cipher.getInstance String.getBytes SecretKeySpec.new Cipher.ENCRYPT_MODE Cipher.DECRYPT_MODE Cipher.init
1198;the rsa algorithm uses the private key to generate a digital signature for the data;Signature.getInstance Signature.initSign String.getBytes Signature.update Signature.sign Base64.encodeBase64String
1199;signature verification;Signature.getInstance CertificateFactory.getInstance CertificateFactory.generateCertificate Certificate.getPublicKey Signature.initVerify Signature.update String.getBytes Base64.decodeBase64 Signature.verify
1200;parse private key from encrypted format;PKCS8EncryptedPrivateKeyInfo.new PKCS8EncryptedPrivateKeyInfo.decryptPrivateKeyInfo JcaPEMKeyConverter.new JcaPEMKeyConverter.setProvider JcaPEMKeyConverter.getPrivateKey
1201;public and private keys of both parties generate (negotiate) a symmetric key;KeyAgreement.getInstance KeyAgreement.init KeyAgreement.doPhase KeyAgreement.generateSecret
1202;sign the message using hmac-sha1;KeyGenerator.getInstance KeyGenerator.init KeyGenerator.generateKey SecretKey.getEncoded SecretKeySpec.new Mac.getInstance Mac.init Mac.doFinal
1203;perform ansi98 decryption;String.getBytes SecretKeySpec.new Cipher.getInstance Cipher.DECRYPT_MODE Cipher.init Cipher.doFinal
1204;generate hmac-sha1 key;KeyGenerator.getInstance KeyGenerator.init KeyGenerator.generateKey SecretKey.getEncoded
1205;private key encryption;PKCS8EncodedKeySpec.new KeyFactory.getInstance KeyFactory.generatePrivate Cipher.getInstance Cipher.init ByteArrayOutputStream.write Cipher.doFinal ByteArrayOutputStream.write ByteArrayOutputStream.close
1206;private key encryption, public key decryption -- encryption;Base64.decodeBase64 PKCS8EncodedKeySpec.new KeyFactory.getInstance KeyFactory.generatePublic Cipher.getInstance Cipher.ENCRYPT_MODE Cipher.init String.getBytes Cipher.doFinal Base64.encodeBase64String
1207;methods of generating asymmetric keys;KeyPairGenerator.getInstance KeyPairGenerator.initialize KeyPairGenerator.generateKeyPair KeyPair.getPrivate KeyPair.getPublic FileOutputStream.new ObjectOutputStream.new ObjectOutputStream.writeObject FileOutputStream.new ObjectOutputStream.new ObjectOutputStream.writeObject
1208;perform tripledes encryption;Cipher.getInstance String.getBytes SecretKeySpec.new Cipher.ENCRYPT_MODE Cipher.init Cipher.doFinal
1209;encrypts or decrypts an unencoded raw byte array using aes;KeyGenerator.getInstance KeyGenerator.init KeyGenerator.generateKey SecretKey.getEncoded SecretKeySpec.new Cipher.getInstance Cipher.init Cipher.doFinal
1210;generate hmac-sha1 key;KeyGenerator.getInstance KeyGenerator.init KeyGenerator.generateKey SecretKey.getEncoded
1211;verify digital signature;Base64.encode String.new X509EncodedKeySpec.new KeyFactory.getInstance KeyFactory.generatePublic Signature.getInstance Signature.initVerify Signature.update String.getBytes Base64.decode Signature.verify
1212;private key decryption;PKCS8EncodedKeySpec.new KeyFactory.getInstance KeyFactory.generatePrivate Cipher.getInstance Cipher.init ByteArrayOutputStream.write Cipher.doFinal ByteArrayOutputStream.write ByteArrayOutputStream.close
1213;encrypt with md5 method (password can be set);KeyGenerator.getInstance KeyGenerator.generateKey String.getBytes SecretKeySpec.new Mac.getInstance Mac.init Mac.doFinal Base64Util.getInstance.encode
;;
